Name,geo_loc
Bangalore Banashankari,"(12.965283249999999, 77.59445195)"
Bangalore Basavanagudi,"(12.9417261, 77.5755021)"
Bangalore Mysore Road,"(12.9357828, 77.51399)"
Bangalore Jayanagar,"(12.9292731, 77.5824229)"
Bangalore Kumaraswamy Layout,"(12.9081487, 77.5553179)"
Bangalore Rajarajeshwari Nagar,"(12.9274413, 77.5155224)"
Bangalore Vijay Nagar,"(16.5075123, 75.3030627)"
Bangalore Uttarahalli,"(12.9055682, 77.5455438)"
Bangalore JP Nagar,"(12.91226375, 77.59045672324466)"
Bangalore South Bangalore,"(12.862467899999999, 77.56089325971044)"
Bangalore City Market,"(12.965717999999999, 77.5762705372058)"
Bangalore Nagarbhavi,"(12.9546741, 77.5121724)"
Bangalore Bannerghatta Road,"(12.887979, 77.5970812)"
Bangalore BTM,"(12.911275849999999, 77.60456543431182)"
Bangalore Kanakapura Road,"(12.9177484, 77.5735837)"
Bangalore Bommanahalli,"(12.9089453, 77.6239038)"
Bangalore nan,"(12.9791198, 77.5912997)"
Bangalore CV Raman Nagar,"(12.9856478, 77.6649767)"
Bangalore Electronic City,"(12.8563536, 77.6636073)"
Bangalore HSR,"(12.9116225, 77.6388622)"
Bangalore Marathahalli,"(12.9552572, 77.6984163)"
Bangalore Sarjapur Road,"(12.9240361, 77.6394335)"
Bangalore Wilson Garden,"(12.9489339, 77.5968273)"
Bangalore Shanti Nagar,"(12.9575547, 77.5979099)"
Bangalore Koramangala 5th Block,"(12.9343774, 77.628415)"
Bangalore Koramangala 8th Block,"(12.9417812, 77.6160146)"
Bangalore Richmond Road,"(12.9662604, 77.6067163)"
Bangalore Koramangala 7th Block,"(12.9302645, 77.6332585)"
Bangalore Jalahalli,"(13.0464531, 77.5483803)"
Bangalore Koramangala 4th Block,"(12.93433385, 77.63040639553275)"
Bangalore Bellandur,"(12.93577245, 77.66676103753434)"
Bangalore Whitefield,"(12.9696365, 77.7497448)"
Bangalore East Bangalore,"(12.992303549999999, 77.70593990523807)"
Bangalore Old Airport Road,"(12.9593577, 77.6614182)"
Bangalore Indiranagar,"(12.9732913, 77.6404672)"
Bangalore Koramangala 1st Block,"(12.932354, 77.6288284)"
Bangalore Frazer Town,"(12.996845, 77.6130165)"
Bangalore RT Nagar,"(13.0227204, 77.595715)"
Bangalore MG Road,"(12.9741854, 77.6124135)"
Bangalore Brigade Road,"(12.9750605, 77.6080323)"
Bangalore Lavelle Road,"(12.9683054, 77.5964883)"
Bangalore Church Street,"(12.9750521, 77.6046959)"
Bangalore Ulsoor,"(12.9778793, 77.6246697)"
Bangalore Residency Road,"(12.974344, 77.6110621)"
Bangalore Shivajinagar,"(12.986391, 77.6075416)"
Bangalore Infantry Road,"(12.9831774, 77.595831)"
Bangalore St. Marks Road,"(12.9792353, 77.6023944)"
Bangalore Cunningham Road,"(12.9845781, 77.5970428)"
Bangalore Race Course Road,"(12.9843313, 77.5876059)"
Bangalore Commercial Street,"(12.9821931, 77.6083132)"
Bangalore Vasanth Nagar,"(12.988721250000001, 77.58516877601824)"
Bangalore HBR Layout,"(13.0358698, 77.6323597)"
Bangalore Domlur,"(12.9624669, 77.6381958)"
Bangalore Ejipura,"(12.945245, 77.6269144)"
Bangalore Jeevan Bhima Nagar,"(12.9678074, 77.6568367)"
Bangalore Old Madras Road,"(12.9970537, 77.669804)"
Bangalore Malleshwaram,"(13.0027353, 77.5703253)"
Bangalore Seshadripuram,"(12.9931876, 77.5753419)"
Bangalore Kammanahalli,"(13.0093455, 77.6377094)"
Bangalore Koramangala 6th Block,"(12.9400321, 77.6203272)"
Bangalore Majestic,"(12.9757079, 77.5728757)"
Bangalore Langford Town,"(12.957998, 77.6037312)"
Bangalore Central Bangalore,"(12.97339325, 77.61123426914668)"
Bangalore Sanjay Nagar,"(12.9578658, 77.6958748)"
Bangalore Brookefield,"(12.9668213, 77.7168891)"
"Bangalore ITPL Main Road, Whitefield","(12.9845687, 77.73766474151809)"
"Bangalore Varthur Main Road, Whitefield",
Bangalore KR Puram,"(13.007516, 77.695935)"
Bangalore Koramangala 2nd Block,"(12.9243509, 77.6255562)"
Bangalore Koramangala 3rd Block,"(12.9271867, 77.6266252)"
Bangalore Koramangala,"(12.9340114, 77.6222304)"
Bangalore Hosur Road,"(12.91762, 77.6224757)"
Bangalore Rajajinagar,"(12.9882338, 77.554883)"
Bangalore Banaswadi,"(13.0141618, 77.6518539)"
